content_cleaned,content_segmented,sentiment,sentiment_label,score,bank_name
"tôi là một người dùng bidv, và tôi đã không thể nào đăng nhập vào lại ứng dụng chỉ vì nó cứ bắt cập nhật lại vân tay mà không hề báo tôi, từ lúc lập cảm ơn tôi đã sài vân tay nên quên mk, và nó hết hạn không dùng được vân tay nữa, trong khi tôi ở nước ngoài số vn không sài được, tôi thật sự đã hết cách!","tôi là một người dùng bidv , và tôi đã không_thể_nào đăng_nhập vào lại ứng_dụng chỉ vì nó cứ bắt_cập_nhật lại vân_tay mà không hề báo tôi , từ lúc lập cảm_ơn tôi đã sài vân tay nên quên mk , và nó hết hạn không dùng được vân tay nữa , trong khi tôi ở nước_ngoài số vn không sài được , tôi thật_sự đã hết cách !",negative,0,1,BIDV
"ứng dụng không gửi mã otp, nếu có gửi toàn 1 tiếng sau khi mã đã hết hiệu lực. lần nào mình đặt lại mật khẩu đều bị vậy, đổi máy mới vẫn bị. mới đầu mình nghĩ là do nhà mạng nhưng các ứng dụng khác gửi mã vẫn nhận được, chỉ có ứng dụng này là không nhận được.","ứng_dụng không gửi mã_otp , nếu có gửi toàn 1 tiếng sau khi mã đã hết hiệu_lực . lần nào mình đặt lại mật_khẩu đều bị vậy , đổi máy mới vẫn bị . mới đầu mình nghĩ là do nhà_mạng nhưng các ứng_dụng khác gửi_mã vẫn nhận được , chỉ có ứng_dụng này là không nhận được .",negative,0,1,BIDV
"ứng dụng thỉnh thoảng rất lag , đăng nhập mãi phải tầm 10 20s mới vào được . xog có lúc đơ không ấn chuyển tiền được , lúc chuyển được thì đợi xác nhận loading mãi . hệ thống ngân hàng mà như vậy , chán !","ứng_dụng thỉnh_thoảng rất lag , đăng_nhập mãi phải tầm 10 20 s mới vào được . xog có lúc đơ không ấn chuyển tiền được , lúc chuyển được thì đợi xác_nhận loading mãi . hệ_thống ngân_hàng mà như_vậy , chán !",negative,0,1,BIDV
"nếu không phải do đóng tiền học qua ứng dụng thì không bao giờ dùng cái nh này, đã trừ phí hàng tháng hàng năm rồi xong lại còn cứ lag liên lục, ứng dụng thì vẫn cho đăng nhập xong load liên tục không cho thao tác, không cho ck, rất gây bực mình cho người dùng","nếu không phải do đóng tiền học qua ứng_dụng thì không bao_giờ dùng cái nh này , đã trừ_phí hàng tháng hàng năm rồi xong lại còn cứ lag liên_lục , ứng_dụng thì vẫn cho đăng_nhập xong load liên_tục không cho thao_tác , không cho ck , rất gây bực_mình cho người dùng",negative,0,1,BIDV
"quá tệ, quét mặt khó qua, mở tài khoảng quét chíp cũng lỗi, dù đã dùng đt sịn và có nfc","quá tệ , quét_mặt khó qua , mở tài khoảng quét chíp cũng lỗi , dù đã dùng đt sịn và có nfc",negative,0,1,BIDV
"cm điện thoại có nfc quét lần đầu nói thành công, xác định lần 2 bảo điện thoại không có nfc..apk óc chó","cm điện_thoại có nfc_quét lần đầu nói thành_công , xác_định lần 2 bảo điện_thoại không có nfc .. apk_óc chó",negative,0,1,BIDV
đăng ký online không bao giờ qua được phần quét nfc trong khi các ứng dụng khác có thể quét được nfc thì ứng dụng mỗi lần quét lại hiển thị lỗi hoặc không quét thấy nfc,đăng_ký online không bao_giờ qua được phần quét nfc trong khi các ứng_dụng khác có_thể quét được nfc thì ứng_dụng mỗi lần quét lại hiển_thị lỗi hoặc không quét thấy nfc,negative,0,1,BIDV
chuyển tiền mấy ngày tiền thì trừ nhưng bên kia không nhận được tiền liên hệ lên cskh nhưng không ai nghe cứ mở nhạc để trừ tiền nên tránh xa ngân hàng này,chuyển tiền mấy ngày tiền thì trừ nhưng bên kia không nhận được tiền liên_hệ lên cskh nhưng không ai nghe cứ mở_nhạc để trừ tiền nên tránh xa ngân_hàng này,negative,0,1,BIDV
như thế nào không đăng nhập được máy khác mà cứ bắt phải chức năng này chức năng kia mới được sdt dùng sẽ gửi mà về sim mà lang nhàng quá lên không muốn dùng bidv là đúng,như_thế_nào không đăng_nhập được máy khác mà cứ bắt phải chức_năng này chức_năng kia mới được sdt dùng sẽ gửi mà về sim mà lang_nhàng quá lên không muốn dùng bidv là đúng,negative,0,1,BIDV
"dạo gần đây dịch vụ bidv rất tệ. đột ngột cắt hay lỗi không vào được tài khoản. giờ sử dụng thanh toán điện tử là chính mà đột ngột không sử dụng được rất bất tiện. thẻ thì mới làm được 1 năm theo cd mới lại báo không sử dụng được để rút tiền, phải đi làm lại thẻ mất phí , không nhiều nhưng gây phiền hà bất tiện. tôi đọc bình luận thấy ngân hàng bảo gọi điện tổng đài , nhưng tôi cũng gọi rất nhiều lần nào cũng không gọi được, toàn báo bận. ngân hàng nên tiếp thu ý kiến của người sử dụng nghiêm túc và đều chỉnh.","dạo gần đây dịch_vụ bidv rất tệ . đột_ngột cắt hay lỗi không vào được tài_khoản . giờ sử_dụng thanh_toán điện_tử là chính mà đột_ngột không sử_dụng được rất bất_tiện . thẻ thì mới làm được 1 năm theo cd mới lại báo không sử_dụng được để rút_tiền , phải đi làm_lại thẻ mất_phí , không nhiều nhưng gây phiền_hà bất_tiện . tôi đọc bình_luận thấy ngân_hàng bảo gọi điện tổng_đài , nhưng tôi cũng gọi rất nhiều lần nào cũng không gọi được , toàn báo bận . ngân_hàng nên tiếp_thu ý_kiến của người sử_dụng nghiêm_túc và đều chỉnh .",negative,0,1,BIDV
